Draw.up.date,daily_count
2010-01-02,1
2010-01-11,1
2010-01-18,1
2010-01-21,2
2010-01-26,7
2010-02-09,4
2010-02-18,1
2010-02-19,1
2010-02-22,2
2010-03-05,3
2010-03-11,7
2010-03-16,1
2010-03-19,1
2010-03-22,1
2010-03-26,2
2010-03-29,1
2010-03-30,1
2010-04-01,2
2010-04-10,1
2010-04-14,2
2010-04-19,1
2010-04-30,3
2010-05-01,1
2010-05-05,2
2010-05-10,1
2010-05-15,3
2010-05-26,1
2010-06-04,1
2010-06-08,1
2010-06-09,1
2010-06-10,2
2010-06-12,1
2010-07-12,3
2010-08-17,3
2010-08-18,2
2010-08-20,2
2010-08-24,1
2010-08-26,4
2010-08-27,1
2010-08-31,4
2010-09-09,2
2010-09-13,2
2010-09-14,1
2010-09-27,2
2010-10-03,1
2010-10-11,2
2010-10-14,1
2010-10-22,1
2010-10-25,1
2010-10-26,1
2010-11-01,3
2010-11-15,2
2010-11-19,7
2010-11-29,9
2010-12-11,1
2010-12-14,2
2010-12-23,2
2010-12-28,1
2010-12-30,3
2011-01-03,1
2011-01-13,1
2011-01-24,2
2011-02-08,3
2011-02-21,3
2011-02-22,1
2011-02-25,3
2011-03-03,1
2011-03-14,3
2011-03-24,1
2011-03-30,4
2011-03-31,3
2011-04-03,1
2011-04-08,1
2011-04-26,5
2011-05-01,1
2011-05-07,2
2011-06-13,1
2011-06-16,1
2011-06-20,1
2011-06-22,4
2011-06-27,3
2011-07-02,1
2011-07-06,2
2011-07-18,2
2011-07-26,4
2011-07-27,2
2011-08-09,4
2011-08-12,1
2011-08-16,3
2011-08-17,1
2011-08-22,1
2011-09-03,1
2011-09-06,2
2011-09-08,1
2011-09-11,2
2011-09-12,1
2011-09-23,2
2011-09-28,1
2011-10-03,3
2011-10-05,2
2011-10-06,1
2011-10-26,1
2011-10-27,1
2011-11-01,1
2011-11-03,3
2011-11-14,2
2011-11-16,5
2011-11-18,1
2011-11-28,1
2011-12-14,1
2011-12-30,4
2012-01-16,1
2012-01-18,5
2012-02-03,1
2012-02-04,1
2012-02-20,1
2012-02-22,2
2012-03-08,1
2012-03-20,1
2012-03-21,1
2012-03-26,2
2012-03-30,2
2012-04-04,1
2012-04-06,2
2012-04-09,11
2012-04-24,4
2012-05-02,1
2012-05-09,11
2012-05-14,4
2012-05-15,1
2012-05-24,2
2012-05-30,2
2012-06-02,4
2012-06-09,3
2012-06-25,2
2012-06-26,1
2012-07-18,2
2012-07-30,1
2012-07-31,1
2012-08-21,5
2012-08-22,3
2012-08-24,1
2012-08-27,2
2012-08-28,6
2012-08-30,3
2012-09-07,1
2012-09-18,2
2012-09-20,1
2012-09-24,3
2012-10-04,2
2012-10-07,1
2012-10-09,5
2012-10-15,5
2012-10-18,3
2012-10-19,1
2012-10-22,1
2012-10-23,2
2012-10-24,3
2012-11-15,4
2012-11-22,4
2012-11-30,1
2012-12-03,3
2012-12-12,1
2012-12-19,1
2012-12-28,1
2013-02-04,6
2013-02-12,4
2013-02-14,18
2013-02-15,13
2013-02-21,1
2013-02-25,3
2013-02-26,2
2013-03-09,1
2013-03-10,2
2013-03-18,2
2013-03-19,4
2013-03-25,2
2013-04-06,1
2013-04-11,6
2013-04-16,7
2013-04-29,3
2013-05-02,7
2013-05-07,2
2013-05-08,2
2013-05-16,3
2013-05-24,1
2013-05-28,3
2013-06-02,12
2013-06-03,23
2013-06-05,7
2013-06-11,4
2013-06-13,1
2013-06-14,1
2013-06-17,2
2013-06-25,4
2013-07-01,1
2013-07-02,19
2013-07-06,2
2013-07-31,2
2013-08-02,6
2013-08-04,3
2013-08-07,3
2013-08-10,2
2013-09-04,1
2013-09-09,3
2013-09-12,3
2013-09-16,5
2013-09-24,3
2013-10-09,1
2013-10-10,4
2013-10-16,3
2013-10-18,10
